word,machine,human,label,emotion_intensity_score
surgery,iṣẹ abẹ,iṣẹ́ abẹ,fear,0.578
rubble,idoti,ìdọ̀tí,sadness,0.282
viper,paramọlẹ,paramọ́lẹ̀,fear,0.672
carol,karol,orin-kérésì,trust,0.336
establish,fi idi mulẹ,ṣàgbékalẹ̀,trust,0.641
exaltation,igbega,ìgbéga,trust,0.445
petit,kekere,kekéré,trust,0.344
majestic,ọlanla,ọlánlá,anticipation,0.578
grow,dagba,dàgbà,anticipation,0.555
bitterness,kikoro,ìkorò,disgust,0.5
heyday,ojo nla,ìkíni,anticipation,0.492
duress,iponju,ìpọ́njú,anger,0.516
bloated,gbuuru,wú púpọ̀,disgust,0.625
confession,ijewo,ìjẹ́wọ́,sadness,0.281
inoculation,inoculation,àjẹsára,trust,0.539
changeable,iyipada,aṣeéyípadà,surprise,0.438
sabotage,sabotage,mọ̀ọ́mọ̀ dí àṣeyọrí nǹkan lọ́wọ́,disgust,0.609
obi,obi,ìdì,fear,0.375
frightful,ẹru,ẹrú,sadness,0.672
constable,olopa,ọlọ́pà,trust,0.508
official,osise,òṣìṣẹ́,trust,0.68
servile,servile,ìrẹ̀lẹ̀,sadness,0.359
lifted,gbe soke,gbé sókè,joy,0.547
inhuman,alainibaba,níkà,anger,0.485
warms,igbona,Ìgbóná,joy,0.391
cringe,kigbe,kígbe,fear,0.578
nameless,alaini oruko,aláìní orúkọ,disgust,0.148
gallows,igi,igi,sadness,0.797
illegitimate,arufin,arúfin,fear,0.438
nothingness,asan,asán,sadness,0.594
banshee,banshee,ẹ̀mí asekìlọ̀,sadness,0.391
inimical,aiṣedeede,àìṣedéédé,sadness,0.531
comforting,itunu,ìtùnú,joy,0.636
preservative,olutọju,olùtọ́jú,joy,0.242
trump,ipè,borí,surprise,0.492
assassination,ipaniyan,ìpànìyàn,fear,0.828
spaz,spaz,àìyẹ,fear,0.391
obedience,igboran,ìgbọràn,trust,0.539
advent,dide,dìde,joy,0.152
socialist,sosialisiti,Èyàn ti àjùmọ̀ní,anger,0.25
apprehension,ibẹru,ìbẹ̀rù,fear,0.453
perfection,pipé,pípéyé,surprise,0.305
slimy,tẹẹrẹ,tẹ́ẹ́rẹ́,disgust,0.703
cantbreathe,ko le simi,kò lè mín,fear,0.641
possibility,seese,ṣeéṣe,anticipation,0.641
base,ipilẹ,ìpìlẹ̀,trust,0.43
tackle,koju,kojú,surprise,0.602
mountains,awọn oke -nla,àwọn òkè-ńlá,joy,0.194
restriction,ihamọ,ìhámọ́,sadness,0.438
romp,romp,ṣeré,joy,0.348
entangled,ti a dapọ,tí a dàpọ̀,anger,0.544
elevation,igbega,ìgbéga,anticipation,0.508
quash,ipọnju,ìpọ́njú,fear,0.328
hoax,itanjẹ,ìtànjẹ,surprise,0.453
clamor,ariwo,ariwo,disgust,0.156
mayhem,ipọnju,ìpọ́njú,fear,0.69
illegal,arufin,arúfin,disgust,0.43
tree,igi,igi,anger,0.0
meditate,ṣe àṣàrò,ṣe àṣàrò,joy,0.438
optimism,ireti,ìrètí,anticipation,0.625
holocaust,ipaniyan,ìpànìyàn,anger,0.712
respite,isinmi,ìtúsílẹ̀,trust,0.422
graduation,ipari ẹkọ,ìkẹ́kọ̀ọ́jáde,trust,0.523
frenetic,frenetic,aṣiwèrè,fear,0.5
sweetheart,ololufe,olólùfẹ́,joy,0.758
unintentionally,lairotẹlẹ,láìròtẹ́lẹ̀,surprise,0.508
sunny,oorun,oòrùn,joy,0.562
ribet,ribet,dèpa,trust,0.289
bigoted,agbéraga,agbéraga,anger,0.53
ihatespiders,ihatespiders,mo kórìíra alàǹtakùn,fear,0.859
voluptuous,atinuwa,àtinúwá,anticipation,0.484
soil,ile,ilẹ̀,disgust,0.312
policy,imulo,ìpinnu,trust,0.508
accuser,olufisun,olùfisùn,anger,0.47
deserve,yẹ,yẹ,anger,0.176
perilous,ewu,ewu,fear,0.641
corrupting,ibajẹ,ìbàjẹ́,fear,0.562
amour,amour,ìhámọ́ra,joy,0.607
aversion,ikorira,ìkórìíra,disgust,0.438
coexist,ibagbepo,ìbágbépọ̀,trust,0.641
ordeal,ipọnju,Ìpọ́njú,anger,0.5
champion,asiwaju,asíwájú,joy,0.641
edification,atunse,Àtúnṣe,anticipation,0.422
midwife,agbẹbi,agbẹ̀bí,joy,0.288
celebrity,gbajumọ,gbajúmọ̀,trust,0.273
special,pataki,pàtàkì,joy,0.574
dominion,ijọba,ìjẹgàba,trust,0.422
income,owo oya,Owó osù,anticipation,0.5
progress,itesiwaju,ìtẹ̀síwájú,joy,0.397
artillery,ohun ija,ohun ìjà,fear,0.625
hulk,iho,bàjẹ́,anger,0.329
assessment,igbelewọn,ìgbéléwọ̀n,trust,0.594
trick,omoluabi,ọmọlúàbí,surprise,0.625
successful,aseyori,àṣeyọrí,joy,0.606
enemy,ota,ọ̀tá,fear,0.625
candid,lododo,lódodo,joy,0.281
vermin,kokoro,kòkòrò apanilára,fear,0.672
indict,fi ẹsun kan,fi ẹ̀sùn kàn,anger,0.625
estimation,ifoju,ìdíyelé,trust,0.336
fearing,ibẹru,ìbẹ̀rù,fear,0.808
measure,wiwọn,wọ̀n,trust,0.516
yelling,nkigbe,ńkígbe,anger,0.788
fraught,fraught,alára,sadness,0.722
safe,lailewu,aláìléwu,trust,0.672
thrill,dani lorun,Dáni lọ́rùn,anticipation,0.703
qualities,awọn agbara,àwòmọ́,trust,0.617
steal,jale,jalè,anger,0.469
creature,eda,ẹ̀dá,disgust,0.43
complimentary,ikini,ìkíni,trust,0.594
advocacy,agbawi,àgbàwí,anger,0.1
disagreeing,àríyànjiyàn,àríyànjiyàn,sadness,0.333
diary,ojojumọ,ojojúmọ́,joy,0.25
supporter,alatilẹyin,alátìlẹyìn,trust,0.734
soundness,ìlera,ìlera,joy,0.421
christmastime,akoko keresimesi,àkókò Kérésìmesì,joy,0.757
tremor,iwariri,ìwárìrì,fear,0.594
shatter,fọ,Fọ́,anger,0.561
restrict,ni ihamọ,ní ìhámọ́,sadness,0.259
volatility,iyipada,ìyípadà,surprise,0.695
mysterious,ohun ijinlẹ,àràmàndà,fear,0.435
liberation,itusile,ìgbòmìnira,surprise,0.414
grin,rẹrin,rẹ́rìn-ín,joy,0.672
armed,ni ihamọra,ní ìhámọ́ra,fear,0.703
graduation,ipari ẹkọ,ìparí ẹ̀kọ́,fear,0.078
imprisonment,ẹwọn,ẹ̀wọ̀n,anger,0.688
abundance,opo,ọ̀pọ̀,anticipation,0.547
malaria,iba,ibà,sadness,0.547
fortress,odi,òdì,sadness,0.11
scapegoat,atokun,atọ́kùn,fear,0.25
cruelty,ìkà,ìkà,anger,0.833
sortie,sortie,ìkọlù,fear,0.359
gallows,igi,Mì jolojolo,anger,0.57
immaturity,ìbàlágà,ìbàlágà,anger,0.273
disincline,yọkuro,yọ kúrò,disgust,0.312
betray,fi hàn,fi hàn,surprise,0.602
defenseless,ti ko ni aabo,tí kò ní ààbò,sadness,0.526
conformity,ibamu,ìbámu,trust,0.438
unequal,aiṣedeede,àìṣedédédé,fear,0.219
trophy,olowoiyebiye,olówó iyebíye,joy,0.484
obstacle,idiwọ,ìdíwọ́,trust,0.242
insulting,itiju,ìtìjú,sadness,0.391
soulless,alaini -ẹmi,aláìní - ẹ̀mí,sadness,0.623
doubts,iyemeji,iyèméjì,fear,0.308
compliment,iyin,ìyìn,joy,0.831
compliment,iyin,ìkíni,trust,0.516
commonplace,wọpọ,Wọ́pọ̀,anticipation,0.242
decompose,decompose,Jẹrà,disgust,0.789
forewarned,ti kilọ,ti kìlọ̀,fear,0.25
severance,ìyapa,ìyapa,sadness,0.333
absentee,isansa,ìsáǹsá,sadness,0.348
damage,bibajẹ,bíbàjẹ́,anger,0.578
hateful,korira,kórìíra,fear,0.578
banshee,banshee,obìnrin aláriwl,fear,0.641
swastika,swastika,àgbélébùú,fear,0.531
weep,sunkún,sunkún,sadness,0.656
minded,lokan,ní lọ́kàn,trust,0.516
blighted,ti bajẹ,ti bàjé,sadness,0.656
tema,tema,Tema,trust,0.312
humanity,eda eniyan,ẹ̀dá ènìyàn,joy,0.391
indestructible,aidibajẹ,àìdíbàjẹ́,trust,0.695
crippling,arọ,arọ,fear,0.817
credential,iwe eri,ìwé-ẹ̀rí,trust,0.727
camouflaged,camouflaged,ṣẹ̀tàn,surprise,0.375
blasphemous,ọrọ odi,ọ̀rọ̀ òdì,anger,0.712
treachery,arekereke,àrékérekè,surprise,0.633
banished,ti yọ kuro,ti yọ kúrò,anger,0.5
risky,eewu,lééwu,fear,0.562
perfection,pipé,pípé,anticipation,0.508
catastrophe,ajalu,àjálù,anger,0.735
rawr,aise,aláìse,anger,0.375
wokemeup,wokemeup,jími sílẹ̀,anger,0.234
auditions,awọn idanwo,àwọn ìdánwò,fear,0.266
subito,subito,lẹ́sẹ̀kẹsẹ̀,surprise,0.461
optimist,ireti,onírètí,trust,0.5
marriage,igbeyawo,ìgbéyàwó,trust,0.695
falsity,iro,irọ́,disgust,0.43
bigoted,agbéraga,agbéraga,sadness,0.574
dangit,dangit,bínú,anger,0.394
hyperventilate,hyperventilate,mínmín gúlegúle,fear,0.734
anticipatory,ifojusona,Ìfojúsọ́nà,anticipation,0.75
doomsday,ọjọ iparun,Ọjọ́ ìparun,disgust,0.633
adultery,agbere,àgbèrè,sadness,0.566
treat,toju,oúnjẹ,surprise,0.312
mutiny,ipaniyan,ìṣọ̀tẹ̀,fear,0.734
lie,luba,irọ́,disgust,0.445
frisky,frisky,kún fágbára,anticipation,0.414
shriek,igbe,igbe,anger,0.316
preliminary,alakoko,alákọ́kọ́,anticipation,0.461
stalemate,idaduro,ìdádúró,anger,0.297
yeahhh,Bẹẹni,bẹ́ẹ̀ni,joy,0.576
outraged,ibinu,ìbínú,anger,0.964
tolerance,ifarada,ìfaradà,trust,0.508
fain,fain,ṣètò,trust,0.398
poaching,iwapa,ìwàpa,sadness,0.594
strike,idasesile,ìdaṣẹ́sílẹ̀,surprise,0.695
launch,ifilole,Ìfilọ́lẹ̀,anticipation,0.641
corroboration,ijẹrisi,ìjẹ́rìsí,trust,0.57
covenant,majẹmu,májẹ̀mú,trust,0.672
cane,ireke,ìréké,anger,0.25
latent,wiwaba,wíwábá,anticipation,0.273
beating,lilu,lílù,sadness,0.652
damnation,idalẹjọ,ìdálẹ́jọ́,anger,0.906
soangry,soangry,bínú púpọ̀,anger,0.758
fighting,ija,ìjà,anger,0.868
tackle,koju,kojú,anger,0.545
instinctive,imotuntun,ìmọ̀ tuntun,disgust,0.258
huff,ewu,ewu,anger,0.469
hunting,sode,ṣòdẹ,fear,0.5
obliterated,parun,parun,anger,0.894
depreciate,dinku,dínkù,anger,0.315
bitterly,kikorò,kí,disgust,0.547
obstacle,idiwọ,ìdìwọ́,fear,0.344
governor,gomina,gómínà,trust,0.453
breakingnews,Iroyin pajawiri,ìròyin pàjáwìrì,fear,0.25
risky,eewu,ewu,anticipation,0.617
conceal,fi pamọ,fi pamọ́,sadness,0.311
terror,ẹru,ìjàmbá,fear,0.953
raffle,raffle,ìyíkoto,surprise,0.453
esteem,niyi,buyì fún,trust,0.688
collusion,ifowosowopo,ìfọwọ́sowọ́pọ̀,sadness,0.469
suspicion,ifura,ìfura,fear,0.391
sanctification,mimo,mímọ́,joy,0.364
fluke,ṣiṣan,ṣíṣàn,surprise,0.578
powerful,alagbara,lágbára,disgust,0.102
sap,oje,oje,sadness,0.172
unbearable,ti ko le farada,tí kò lè fara dà,sadness,0.83
penitentiary,ile ẹwọn,Ilé ẹ̀wọ̀n,anger,0.422
opponent,alatako,olùdíje,anticipation,0.406
excitation,simi,sinmi,fear,0.391
assailant,apaniyan,apànìyàn,sadness,0.536
stealthy,olè jíjà,olè jíjà,fear,0.25
regatta,regatta,Eré ìwẹdò fún ọkọ̀ ojú omi,anticipation,0.461
impolite,alaibọwọ,aláìbọ̀wọ̀,disgust,0.266
selfworth,ti ara ẹni,tí ara ẹni,joy,0.484
bug,kokoro,kòkòrò,disgust,0.359
craps,craps,yàgbẹ́,anticipation,0.414
orchestra,onilu,onílù,anger,0.132
ugly,ilosiwaju,bùrẹwà,disgust,0.648
glee,ayo,ayò,joy,0.875
hyperventilating,hyperventilating,mínmín gúlegúle,fear,0.762
unmanageable,unmanageable,àìlèdarí,disgust,0.328
repellant,apanirun,apanirun,fear,0.373
lovely,ẹlẹwà,ẹlẹ́wà,joy,0.719
exercise,ere idaraya,eré ìdárayá,joy,0.258
broadside,gbooro,gbòòrò,anticipation,0.305
misery,ibanujẹ,ìbànújẹ́,disgust,0.594
frantic,alaigbọran,aláìgbọràn,fear,0.705
woefully,ègbé,ègbé,disgust,0.398
sorrow,ibanuje,ìbànújẹ́,sadness,0.844
shackle,ẹwọn,ẹ̀wọ̀n,sadness,0.609
witness,ẹlẹri,ẹlẹ́rì,trust,0.602
fidelity,iṣootọ,ìṣòótọ́,joy,0.359
peri,peri,arẹwà obìnrin,surprise,0.391
torn,ya,ya,sadness,0.71
meditation,àṣàrò,àṣàrò,joy,0.446
dicks,dicks,èébú,anger,0.703
brrr,brrr,dún,anger,0.328
crucifixion,agbelebu,àgbélébùú,fear,0.891
apprehend,mu,mú,fear,0.562
ugliness,ilosiwaju,ìlọsíwájú,sadness,0.609
inseparable,ti a ko le pin,tí a kò lè pín,joy,0.485
harga,harga,ìdíyelé,trust,0.305
alien,alejò,àlejò,disgust,0.438
shoutout,paruwo sita,ìkíni,trust,0.344
frightened,bẹru,bẹ̀rù,fear,0.844
oppression,inilara,ìnilára,disgust,0.656
escape,sa,sá,fear,0.406
occasional,lẹẹkọọkan,ẹ̀kọ̀ọ̀kan,surprise,0.312
bereavement,iku,ikú,sadness,0.922
unfriendly,aisore,àìṣọ̀ọ̀rẹ́,disgust,0.305
impending,ti n bọ,ti ń bọ̀,fear,0.562
conquest,iṣẹgun,ìṣẹ́gun,anger,0.367
illuminate,tan imọlẹ,tan ìmọ́lẹ̀,joy,0.547
injustice,aiṣododo,àìṣòdodo,anger,0.5
kiss,fẹnuko,fẹnukò,joy,0.61
daemon,daemon,ẹ̀mín òkùnkùn,disgust,0.516
ambush,ibùba,ibùbá,anger,0.661
lunatic,aṣiwere,aṣiwèrè,disgust,0.594
crave,ifẹkufẹ,Ìfẹ̀kùfẹ́,anticipation,0.586
cosmopolitan,agbaiye,kárí-ayé,trust,0.367
princely,ọmọ -alade,ọmọba-kùrin,surprise,0.398
manipulation,ifọwọyi,ìfọwọ́yí,anger,0.603
explode,gbamu,gbámú,surprise,0.906
slug,slug,ọ̀lẹ,disgust,0.594
recession,ipadasẹhin,ìpadàsẹ́yìn,fear,0.344
implicate,isẹlẹ,ìṣẹ̀lẹ̀,anger,0.409
save,fipamọ,fipamọ́,trust,0.562
familiarity,faramọ,ìsúmọ́raeni,trust,0.68
inexcusable,alaigbọwọ,àìlèdáríjì,disgust,0.484
retract,fapada,fapàda,anger,0.348
seclusion,idayatọ,ìdáyàtọ̀,fear,0.312
demonic,eṣu,èṣù,sadness,0.656
warlike,ogun bi,bí ogun,fear,0.781
jitters,jitters,àìbàlẹ̀ ọkàn,fear,0.562
bluddy,bluddy,èébú,anger,0.562
nag,nagi,kùn,anger,0.394
victory,iṣẹgun,ìṣẹ́gun,joy,0.734
journey,irin -ajo,ìrìn-àjò,joy,0.447
funday,igbadun,ìgbádùn,joy,0.772
illegal,arufin,arúfin,anger,0.394
cruel,ìka,ìkà,fear,0.656
steady,dada,ṣe déédé,trust,0.602
mistrust,aigbagbọ,àìgbàgbọ́,fear,0.5
goodtimes,igba rere,ìgbà rere,joy,0.811
sour,ekan,kan,disgust,0.414
roadrage,ọna opopona,ọ̀nà òpópónà,anger,0.906
bewildered,dãmu,dà mú,surprise,0.719
responsible,lodidi,aṣeégbáralé,trust,0.789
sinful,elese,ẹlẹ́ṣẹẹ̀,fear,0.5
bridesmaid,iyawo,ọ̀rẹ́-ìyàwó,trust,0.469
specialize,pataki,òjìnì,trust,0.414
movies,sinima,sinimá,joy,0.393
violation,ṣẹ,ṣẹ̀,sadness,0.594
owing,nitori,jẹwó,trust,0.289
parting,iyapa,ìyapa,sadness,0.375
hood,ibori,ìbòrí,anger,0.071
accusation,ẹsùn,ẹ̀sùn,disgust,0.523
sentence,gbolohun,gbólóhùn,sadness,0.234
muchneeded,nilo pupọ,nílò púpọ̀,joy,0.312
departure,ilọkuro,ìlọkúrò,sadness,0.438
exigent,exigent,ní lò,fear,0.391
xxx,xxx,ajẹmọ́ ìbálòpọ̀,trust,0.234
accountable,jiyin,ṣèṣirò,trust,0.695
impure,alaimọ,àìmọ́,disgust,0.422
rape,ifipabanilopo,ìfipábánilòpọ̀,fear,0.87
limited,lopin,lópin,anger,0.292
cheer,idunnu,ìdùnnú,joy,0.897
onset,ibẹrẹ,Ìbẹ̀rẹ̀,anticipation,0.477
holiness,iwa -mimo,ìwà-mímọ́,joy,0.531
neighbor,aladugbo,aládúgbò,anticipation,0.281
stresses,awọn aapọn,àwọn áápọn,fear,0.422
intimidate,dẹruba,dẹ́rùbà,fear,0.641
indivisible,ti a ko le pin,aláìṣeépín,trust,0.68
misconception,àṣìlóye,àṣìlóye,fear,0.375
masochism,masochism,ìgbádùn ìyà,disgust,0.664
dictator,apanirun,apàṣẹ,fear,0.656
striking,ohun ijqra,lu ja,surprise,0.672
servile,servile,ìkólẹ́rú,fear,0.344
pig,ẹlẹdẹ,ẹlẹ́dẹ̀,disgust,0.539
deceitful,arekereke,àrékérekè,disgust,0.594
bully,ipanilaya,ìpaniláyà,fear,0.656
inconvenient,korọrun,kò rọrùn,disgust,0.203
amortization,amortization,àdíkù iyì,trust,0.414
listless,atokọ,láìsí àkójọ,sadness,0.729
growling,igbe,igbe,disgust,0.297
foe,ọta,ọ̀tá,fear,0.594
vindictive,ẹsan,ẹ̀san,anger,0.819
boyfriend,omokunrin,ọmọkùnrin,joy,0.48
blighted,ti bajẹ,ti bàjẹ́,disgust,0.523
abbot,abbot,ọ̀gá,trust,0.438
manipulation,ifọwọyi,ìfọwọ́yí,fear,0.531
meritorious,meritorious,ní títọ́sí,trust,0.586
win,ṣẹgun,ṣẹ́gun,joy,0.727
admissible,itẹwọgba,ìtẹ́wọ́gbà,trust,0.508
prejudiced,ikorira,ìkórira,fear,0.484
mental,opolo,ọpọlọ,fear,0.391
murderer,apànìyàn,apànìyàn,disgust,0.82
disinclined,alaigbọran,yọ kúrò,disgust,0.25
angry,binu,bínú,anger,0.824
spine,ọpa -ẹhin,ọ̀pá-ẹ̀hìn,anger,0.288
gateway,ẹnu -ọna,ẹnu-ọ̀nà,trust,0.5
interview,ifọrọwanilẹnuwo,ìfọ̀rọ̀wánilẹ́nuwò,fear,0.18
armed,ni ihamọra,Ní hìhámọ́ra,anger,0.7
concealed,pamọ,pamọ́,surprise,0.531
deflate,fagilo,fún,anger,0.312
tariff,owo idiyele,owó ìdíyelé,disgust,0.242
negro,negro,àwọn aláwọ̀ dúdú,sadness,0.281
pathetic,ìbànújẹ́,ìbànújẹ́,sadness,0.688
regime,ijọba,ìjọba,fear,0.469
agitated,binu,bínú,anger,0.63
flirt,flirt,tage,joy,0.594
destroyed,run,rún,anger,0.788
standstill,iduro,ìdúró,anger,0.125
nuisance,iparun,ìparun,anger,0.406
elevation,igbega,ìgbéga,fear,0.266
debt,gbese,gbèsè,sadness,0.391
vow,ẹjẹ,ẹ̀jẹ́,trust,0.781
annihilation,ìparun,ìparun,sadness,0.828
welcoming,aabọ,ààbò,joy,0.5
imprisoned,ewon,ẹ̀wọ̀n,sadness,0.688
retirement,ifẹhinti lẹnu iṣẹ,ìfẹ̀hìntì lẹ́nu iṣẹ́,joy,0.275
opium,opium,ópíọ̀mù,disgust,0.445
nether,niti,ní ti,sadness,0.328
weighty,iwuwo,ìwúwo,fear,0.297
encyclopedia,encyclopedia,yáágbóyaájù ìmọ̀,trust,0.672
humiliating,itiju,ìtìjú,disgust,0.578
easiest,rọrun julọ,rọrùn jùlọ,trust,0.422
cash,owo,owó,joy,0.406
concerned,fiyesi,fiyè sí,sadness,0.184
loyal,adúróṣinṣin,adúróṣinṣin,joy,0.485
pious,olooto,olóòótọ́,sadness,0.219
deviation,iyapa,ìyapa,sadness,0.422
cheers,idunnu,ìdùnnú,joy,0.773
yell,kigbe,kígbe,fear,0.438
adversity,ipọnju,ìpọ́njú,sadness,0.484
cash,owo,owó,trust,0.414
ringer,ringer,Èyàn jíjọra,anger,0.242
assault,ikọlu,Ìkọlù,anger,0.859
stomach,ikun,ikùn,disgust,0.312
occupant,olugbe,olùgbé,trust,0.43
heartfelt,tọkàntọkàn,tọkàntọkàn,trust,0.734
prostitute,panṣaga,panṣágà,disgust,0.586
treat,toju,tọ́jú,disgust,0.078
acrobat,akrobat,ohùn dídùn,joy,0.162
intolerant,alaigbọran,àìmúmọ́ra,disgust,0.531
slander,ìbanilórúkọjẹ́,ìbanilórúkọjẹ́,disgust,0.609
tickle,tickle,Ìrìn ní gàgí,surprise,0.516
unpleasant,alainidunnu,aláìnídùnnú,disgust,0.477
sin,ese,ẹ̀ṣẹ̀,fear,0.56
bloom,gbin,rúwé,trust,0.531
falsehood,iro,irọ́,anger,0.25
punitive,ifiyaje,Ìfìyàjẹ,anger,0.439
rigor,lile,líle,disgust,0.398
orchestra,onilu,àwọn olórin,trust,0.445
retaliation,igbẹsan,Ìgbẹ̀san,anger,0.621
teach,kọ,kọ́,trust,0.617
insulting,itiju,kàn lábùkù,fear,0.435
doubt,iyemeji,iyèméjì,fear,0.25
vigilant,ṣọra,níṣọ́ra,trust,0.594
juga,juga,ìṣẹ́po egun,trust,0.242
irritable,irritable,gbónára,anger,0.667
leprosy,ẹtẹ,ẹ̀tẹ̀,fear,0.766
shaky,gbigbọn,Gbígbọ̀n,anticipation,0.469
clean,mimọ,mọ́,trust,0.484
rekindle,rekindle,rusókè,anticipation,0.594
squelch,gbuuru,gbùùrù,anger,0.409
adverts,awọn ipolowo,Àwọn ìpolówó,anger,0.197
austere,austere,àìláyọ̀,sadness,0.359
talaga,talaga,lóòtọ́,trust,0.297
organ,eto ara,ẹ̀yà,anticipation,0.25
savor,adun,adùn,anticipation,0.375
infuriates,infuriates,múnúbí,anger,0.894
vanish,parun,parun,surprise,0.617
reconciliation,ilaja,ìlàjà,anticipation,0.5
spa,spa,ìwẹ omiígbóná,surprise,0.086
dread,ibẹru,Ìbẹ̀rù,anticipation,0.531
explosion,bugbamu,bù gbàmù,surprise,0.898
respect,ibowo,Ìbọ̀wọ̀,anticipation,0.438
punish,fìyà jẹni,fìyà jẹni,fear,0.531
jurist,amofin,amòfin,trust,0.562
arson,sisun,ẹ̀sùn fífi iná jó nǹkan,fear,0.794
intimately,timotimo,tímọ́tímọ́,fear,0.156
lsd,lsd,****,joy,0.286
sabotage,sabotage,mọ̀ọ́mọ̀ dí àṣeyọrí nǹkan lọ́wọ́,fear,0.703
reproach,ẹgan,ẹ̀gàn,sadness,0.391
disappointed,banuje,banújẹ́,anger,0.348
pleased,dùn,dùn,joy,0.725
bonus,ajeseku,àjẹṣẹ́kù,surprise,0.586
confident,igboya,ìgboyà,fear,0.094
serve,sin,ìsìn,trust,0.414
capacity,agbara,níkàpá,trust,0.469
aftermath,igbeyin,ìgbẹ̀yìn,anger,0.359
spoiler,afiniṣeijẹ,afiniṣeìjẹ,sadness,0.348
winning,gba,borí,disgust,0.109
untie,tú,tú,joy,0.109
discreet,olóye,olóyè,anticipation,0.289
godisgreat,Olorun tobi,ọlọ́run tóbi,joy,0.721
wound,ọgbẹ,ọgbẹ́,fear,0.571
classical,kilasika,kílásíkà,joy,0.106
jungle,igbo,igbó,fear,0.219
vendetta,vendetta,gbẹ̀san,anger,0.812
repellent,onibaje,oníbàjẹ́,fear,0.391
nefarious,nefarious,kò dára,sadness,0.546
glorify,yin ogo,Yin ògo,anticipation,0.477
soscared,soscared,bẹ̀rù púpọ̀,fear,0.672
guillotine,guillotine,wọ̀bìà,sadness,0.446
startle,ibanuje,ìyàlẹ́nu,fear,0.469
complicate,idiju,ìdijú,anger,0.25
aggression,ifinran,Ìfínràn,anger,0.702
approaching,n sunmọ,Ń súnmọ́,anticipation,0.688
convinced,ni idaniloju,ní ìdánilójú,trust,0.578
assail,ikọlu,ìkọlù,fear,0.578
vigilant,ṣọra,ṣọ́ra,fear,0.319
olfactory,olfactory,Ibi imú,anticipation,0.328
bankruptcy,gbese,gbèsè,anger,0.221
uncover,ṣii,síi,surprise,0.562
excrement,iyọkuro,Ìyọkúrò,disgust,0.883
sage,ologbon,ọlọ́gbọ́n,trust,0.594
tribune,agbo -ogun,olùgbèjà,trust,0.469
slayer,apaniyan,apànìyàn,fear,0.844
pry,pry,Tojúbọ ọ̀rọ̀,anticipation,0.469
tantalizing,tankalẹ,tàn kàlẹ̀,joy,0.572
heartsick,ọkàn -àyà,ọkàn -àyà,disgust,0.336
merriment,aladun,ìgbádùn,surprise,0.453
confidentially,ni igbekele,nígbẹ̀kẹ́lè,trust,0.727
bodyguard,oluṣọ,ẹ̀ṣọ́,trust,0.695
liberty,ominira,òmìnira,anticipation,0.555
darling,olufẹ,olólùfẹ́,trust,0.5
hawk,agbọn,agbọ̀n,fear,0.125
murky,ṣokunkun,ṣókùnkùn,disgust,0.414
zany,zany,Ohun àìmọ́,surprise,0.555
fortress,odi,odi alágbára,trust,0.461
repression,ifiagbaratemole,ìfi agbára tẹ̀mọ́lẹ̀,fear,0.625
fascinate,fanimọra,fani mọ́ra,surprise,0.562
saintly,mimo,mímọ́,joy,0.641
armor,ihamọra,ìhámọ́ra,fear,0.484
feeling,rilara,ìmọ̀lára,disgust,0.141
distress,ipọnju,ìpọ́njú,disgust,0.508
winner,olubori,olùborí,surprise,0.547
sparkle,danu,dànù,joy,0.577
hurrah,hurray,húrè,joy,0.727
frailty,alailera,àìlera,sadness,0.484
alcoholism,ìmukúmu,ìmukúmu,fear,0.5
hairy,onirun,onírun,disgust,0.422
tender,tutu,owó,trust,0.516
submit,tẹriba,Tẹríba,anticipation,0.477
pain,irora,ìrora,fear,0.594
throb,lu,lù,sadness,0.273
candles,awọn abẹla,àwọn àbẹ́là,joy,0.25
accident,ijamba,ìjàmbá,fear,0.75
timid,itiju,ìtìjú,sadness,0.281
dawn,owurọ,òwúrò,joy,0.333
punished,jiya,jìyà,fear,0.641
diversion,iyipada,ìyípadà,surprise,0.5
stealthy,olè jíjà,olè jíjà,anticipation,0.531
fullness,kikun,kíkún,joy,0.394
screech,screech,olohun òkè,surprise,0.641
blockade,ìdènà,ìdènà,fear,0.582
reject,kọ,Kọ̀,anger,0.5
massacre,ipakupa,ìpakúpa,anger,0.882
robber,adigunjale,adigunjalè,disgust,0.492
zen,Zen,ijọba Búdà,joy,0.515
inspire,imisi,ìmísì,joy,0.594
biopsy,biopsy,àyẹ̀wo iṣu ara,fear,0.516
pervert,agabagebe,àgàbàgebè,disgust,0.82
scum,ẹgbin,ẹ̀gbin,disgust,0.695
litigate,ẹjọ,ẹjọ́,anger,0.359
beliebers,awọn onigbagbọ,olólùfẹ beiber,trust,0.227
advance,ilosiwaju,Ìlọsíwájú,anticipation,0.695
lavender,Lafenda,eléwé pọ́pù,joy,0.409
annoy,binu,bínú,anger,0.52
feisty,feisty,Ẹlẹ́ẹ̀mí,anger,0.269
obnoxious,obnoxious,àríyànjiyàn,anger,0.484
wildfire,ina igbo,iná igbó,surprise,0.641
hardened,àiya,àiya,anger,0.348
feud,ija,ìjà,anger,0.641
desecration,ibajẹ,ìbàjẹ́,anger,0.848
excitation,simi,inúdídùn,anticipation,0.703
governess,akoso,àkóso,trust,0.438
festival,ajọdun,ayẹyẹ,surprise,0.266
malevolent,aṣebiakọ,níní ipa búburú,fear,0.703
